Angletheta,M1,M2,M3,M4,Direction,M1,M2,M3,M4,Direction
27.9244,79.139,79.139,79.139,79.139,CLOCKWISE,4299.36,4299.36,4299.36,4299.36,CLOCKWISE
3.24339,9.01182,9.01182,9.01182,9.01182,CLOCKWISE,4044.59,4044.59,4044.59,4044.59,CLOCKWISE
-4.76378,-13.2403,-13.2403,-13.2403,-13.2403,COUNTER-CLOCKWISE,-3184.71,-3184.71,-3184.71,-3184.71,COUNTER-CLOCKWISE
-3.81419,-10.5989,-10.5989,-10.5989,-10.5989,COUNTER-CLOCKWISE,1273.89,1273.89,1273.89,1273.89,COUNTER-CLOCKWISE
-1.3367,-3.71322,-3.71322,-3.71322,-3.71322,COUNTER-CLOCKWISE,-1751.59,-1751.59,-1751.59,-1751.59,COUNTER-CLOCKWISE
-3.81419,-10.5989,-10.5989,-10.5989,-10.5989,COUNTER-CLOCKWISE,4777.07,4777.07,4777.07,4777.07,COUNTER-CLOCKWISE
-10.3892,-28.938,-28.938,-28.938,-28.938,COUNTER-CLOCKWISE,3184.71,3184.71,3184.71,3184.71,COUNTER-CLOCKWISE
3.24339,9.01182,9.01182,9.01182,9.01182,CLOCKWISE,4904.46,4904.46,4904.46,4904.46,CLOCKWISE
-36.871,-106.103,-106.103,-106.103,-106.103,COUNTER-CLOCKWISE,8439.49,8439.49,8439.49,8439.49,COUNTER-CLOCKWISE
3.81419,10.5989,10.5989,10.5989,10.5989,CLOCKWISE,0,0,0,0,CLOCKWISE
2.86249,7.95301,7.95301,7.95301,7.95301,CLOCKWISE,3662.42,3662.42,3662.42,3662.42,CLOCKWISE
4.76378,13.2403,13.2403,13.2403,13.2403,CLOCKWISE,3025.48,3025.48,3025.48,3025.48,CLOCKWISE
33.0248,94.36,94.36,94.36,94.36,CLOCKWISE,7961.78,7961.78,7961.78,7961.78,CLOCKWISE
0.381977,1.06105,1.06105,1.06105,1.06105,CLOCKWISE,-955.414,-955.414,-955.414,-955.414,CLOCKWISE
-4.57406,-12.7125,-12.7125,-12.7125,-12.7125,COUNTER-CLOCKWISE,4585.99,4585.99,4585.99,4585.99,COUNTER-CLOCKWISE
0,0,0,0,0,NULL,3375.8,3375.8,3375.8,3375.8,NULL
-3.624,-10.07,-10.07,-10.07,-10.07,COUNTER-CLOCKWISE,3630.57,3630.57,3630.57,3630.57,COUNTER-CLOCKWISE
-5.71076,-15.8764,-15.8764,-15.8764,-15.8764,COUNTER-CLOCKWISE,1401.27,1401.27,1401.27,1401.27,COUNTER-CLOCKWISE
6.27748,17.4549,17.4549,17.4549,17.4549,CLOCKWISE,0,0,0,0,CLOCKWISE
0,0,0,0,0,NULL,0,0,0,0,NULL
